,id,name,当日_confirm,当日_dead,当日_heal,当日_input,当日_severe,当日_storeConfirm,当日_suspect,累计_confirm,累计_dead,累计_heal,累计_input,累计_severe,累计_suspect
70,95120,荷兰,101.0,0.0,0.0,,,,,51237,6156,193,0.0,0,0
71,951234567,巴西,24831.0,631.0,20755.0,,,,,1864681,72100,1264843,0.0,0,0
72,8115,洪都拉斯,530.0,0.0,0.0,,,,,27583,771,2901,0.0,0,0
73,95394,乌拉圭,1.0,1.0,0.0,,,,,987,31,896,0.0,0,0
74,95390,秘鲁,3616.0,188.0,2959.0,,,,,326326,11870,217111,0.0,0,0
75,956666,智利,3012.0,98.0,2788.0,,,,,315041,6979,283902,0.0,0,0
76,95389,格陵兰,,,,,,,,13,0,13,0.0,0,0
77,95382,圣巴托洛谬岛,,,,,,,,6,0,6,,0,0
78,950101010,马尔代夫,67.0,0.0,16.0,,,,,2731,13,2284,0.0,0,0
79,95384,委内瑞拉,287.0,4.0,0.0,,,,,9465,89,2671,0.0,0,0
80,8134,毛里塔尼亚,80.0,0.0,203.0,,,,,5355,147,2363,0.0,0,0
81,8135,纳米比亚,,,,,,,,31,0,17,,0,0
82,8132,法属留尼汪岛,,,,,,,,487,1,447,0.0,0,0
83,8133,波多黎各,0.0,0.0,0.0,0.0,0.0,,0.0,5536,146,0,0.0,0,0
84,95732,加纳,270.0,4.0,356.0,,,,,24518,139,20187,0.0,0,0
85,8136,赤道几内亚,0.0,0.0,0.0,,,,,3071,51,842,0.0,0,0
86,8130,几内亚,97.0,0.0,60.0,,,,,6141,37,4862,0.0,0,0
87,8131,卢旺达,38.0,0.0,21.0,,,,,1337,4,684,0.0,0,0
88,80001,格林纳达,,,,,,,,23,0,22,,0,0
89,8129,斯威士兰,40.0,2.0,12.0,,,,,1351,20,668,0.0,0,0
90,8145,坦桑尼亚,0.0,0.0,0.0,,,,,509,21,183,0.0,0,0
91,8146,贝宁,93.0,0.0,0.0,,,,,1378,26,557,0.0,0,0
92,8143,刚果（金）,128.0,0.0,0.0,,,,,8033,189,3615,0.0,0,0
93,8144,中非共和国,29.0,0.0,0.0,,,,,4288,53,1145,0.0,0,0
94,8147,利比里亚,12.0,0.0,0.0,,,,,1010,51,423,0.0,0,0
95,8148,索马里,8.0,1.0,0.0,,,,,3059,93,1264,0.0,0,0
96,95123456,塞拉利昂,17.0,0.0,13.0,,,,,1635,63,1154,0.0,0,0
97,95XXXX,乍得,6.0,1.0,0.0,,,,,880,75,790,0.0,0,0
98,8152,赞比亚,0.0,0.0,64.0,,,,,1895,42,1412,0.0,0,0
99,8151,巴巴多斯,,,,,,,,96,7,83,,0,0
100,95mali,马里,5.0,0.0,11.0,,,,,2411,121,1694,0.0,0,0
101,958888,阿根廷,2657.0,35.0,1286.0,,,,,100166,1845,42694,0.0,0,0
102,81113,法属波利尼西亚,,,,,,,,60,0,60,,0,0
103,9584332,巴林,471.0,4.0,597.0,,,,,32941,108,28425,0.0,0,0
104,8168,莫桑比克,22.0,0.0,15.0,,,,,1157,9,364,0.0,0,0
105,95747,喀麦隆,257.0,0.0,0.0,,,,,15173,359,11928,0.0,0,0
106,8165,乌干达,12.0,0.0,0.0,,,,,1025,0,972,0.0,0,0
107,8166,厄立特里亚,,,,,,,,41,0,39,,0,0
108,95983,刚果（布）,0.0,0.0,0.0,,,,,2028,47,589,0.0,0,0
109,8162,津巴布韦,3.0,0.0,8.0,,,,,985,18,328,0.0,0,0
110,956475,丹麦,0.0,0.0,0.0,,,,,13147,609,12278,0.0,0,0
111,81344,阿鲁巴,,,,,,,,101,3,98,0.0,0,0
112,95776,斐济,0.0,0.0,0.0,,,,,26,0,18,0.0,0,0
113,8172,伯利兹,0.0,0.0,0.0,,,,,37,2,20,0.0,0,0
114,8173,缅甸,1.0,0.0,0.0,,,,,331,6,261,0.0,0,0
115,9568067,塞浦路斯,7.0,0.0,0.0,,,,,1021,19,839,0.0,0,0
116,81134,关岛,,,,,,,,183,5,143,0.0,0,0
117,888779,科索沃,,,,,,,,1326,31,921,0.0,0,0
118,95860612,圣皮埃尔岛和密克隆岛,,,,,,,,1,0,1,0.0,0,0
119,95251456,吉尔吉斯斯坦,719.0,0.0,0.0,,,,,10629,132,3387,0.0,0,0
120,8197,博茨瓦纳,,,,,0.0,,0.0,60,1,24,,0,0
121,95309,尼日尔,0.0,0.0,0.0,,,,,1099,68,992,0.0,0,0
122,95305,苏里南,15.0,0.0,0.0,,,,,741,18,495,0.0,0,0
123,95306,佛得角,32.0,0.0,0.0,,,,,1623,19,748,0.0,0,0
124,95786,萨尔瓦多,283.0,0.0,0.0,,,,,9674,260,5634,0.0,0,0
125,95303,圭亚那,,,,,0.0,,0.0,159,12,99,,0,0
126,95787,尼加拉瓜,0.0,0.0,0.0,,,,,2846,91,1993,0.0,0,0
127,95783,冈比亚,,,,,0.0,,0.0,28,1,24,,0,0
128,9523416782,东帝汶,,,,,,,,24,0,24,,0,0
129,950777,巴基斯坦,2521.0,0.0,0.0,,,,,248872,5197,156700,0.0,0,0
130,9577890,埃及,912.0,89.0,543.0,,,,,82070,3858,24419,0.0,0,0
131,9577665,科威特,836.0,0.0,0.0,,,,,54894,390,44610,0.0,0,0
132,95903,斯洛伐克,8.0,0.0,0.0,,,,,1901,28,1493,0.0,0,0
133,95904,直布罗陀,0.0,0.0,0.0,0.0,0.0,,0.0,176,0,173,0.0,0,0
134,959333,摩纳哥,,,,,,,,99,4,93,,0,0
